"Auth Object","Auth Object Description"
"CPE_DOCDEF","Document Default Data for Commodity Pricing Engine"
"CPE_PRICEQ","Price Quotation for Commodity Pricing Engine"
"CPE_SETTIN","Commodity Pricing Engine: General Settings"
"CRM_BM","ABAP Broadcast Supervisor Messaging Authorization Object"
"CRM_BUHI","Authorization Object for Business Partner Group Hierarchy"
"CRM_IC_SCR","authorization object for Interactive Scripting"
"CVI_CUST","Process Assignment Customizing and Synchronization Reports"
"C_ADSPCIP","Spec2000: Authorization object"
"C_AENR_BGR","CC Change Master - Authorization Group"
"C_AENR_ERW","CC Eng. Chg. Mgmt. Enhanced Authorization Check"
"C_AENR_RV1","CC Engineering change mgmt - revision level for materials"
"C_AENR_RV2","CC Engineering Change Mgt - revision level for documents"
"C_AFFW_DEL","Authorization to delete incorrect goods mvts - not in use"
"C_AFFW_TWK","CIM: Reworking error records from autom. goods movements"
"C_AFKO_ACT","Activities on network header level"
"C_AFKO_ATY","CIM: Order category"
"C_AFKO_AWA","CIM: Authorization for Prod.Order/Order Type/Plant/Activity"
"C_AFKO_AWK","CIM: Plant for order type of order"
"C_AFKO_DEL","Authorization to Delete Orders - Not in Use !!"
"C_AFKO_DIS","Network: MRP Group (Plant) and Transaction Type"
"C_AFRU_APL","Confirmation: Authorization for actual work center"
"C_AFRU_AWK","CIM: Confirmation"
"C_AFVG_APL","PS: Work Center for Network Activities and Activity Elements"
"C_AFVG_TYP","PS: Activity types for network act. and activity elements"
"C_AFVG_USR","PS: User fields network activity. Activ. element model auth."
"C_APPL_SOP","Sales and Operations Planning (SOP): Application"
"C_ARPL_ART","CIM: Work center category"
"C_ARPL_WRK","CIM: Work center- plant"
"C_AUTO_JIT","ISAUTO_JIT: Sequenced JIT Calls (seqJC)"
"C_AUT_TCD","Evaluation of Audit Trail: Check Transaction Codes"
"C_BACKFL","REM: Backflushing"
"C_BCKFLUSH","Automotive: Production Backflush"
"C_BFLS","REM: Backflushing in Repetitive Manufaucturing"
"C_BFLS_L","REM: Restricted Backflushing"
"C_BFLS_N","REM: Posting Reporting Point Backflush Later"
"C_BFLS_R","REM: Resetting Reporting Point Quantities"
"C_CABN","Authorization for Characteristics Maintenance"
"C_CABN_GRP","Authorization Group in Characteristic"
"C_CACL_DSG","Interface Design"
"C_CAPV_ANW","CAPP: Standard value calculation - application"
"C_CAPV_STA","CAPP: Standard value calculation - master data maintenance"
"C_CF_QUEUE","Authorization Object to Display/Maintain CIF Queue Contents"
"C_CLAS_ERS","Replace Characteristic"
"C_CLAS_NRM","Load Standards Data"
"C_CLAS_UMS","Class Split/Merge"
"C_CLAS_UTI","Authorization for Class Utilities"
"C_CLA_PROF","Profile Maintenance/Assignment of Settings in Classification"
"C_CLMM","Mass Processing of Classifications"
"C_COCF_SRA","Shift Report - Work Center"
"C_COCF_SRE","Schift Report - Equipment"
"C_COCF_SRF","Schift Report - Functional Location"
"C_COCF_SRH","Shift Report - Work Center Hierarchy"
"C_CONS_PGE","Consolidator Portal - Authorization object"
"C_COOPC1","OPC Interface: Access to OPC Items"
"C_COOPC2","OPC Interface: Access to Events and Alarms"
"C_CREC_WRK","PP-PI: Control Recipe - Plant"
"C_CREX_WRK","PP-PI: External Control Recipe Execution (PI-PCS)"
"C_CRFH_BRG","CIM: Production resources/tools master - authorization group"
"C_CRPI_BER","PP-PI: Authorizations for PI Sheet"
"C_CSCR_ACT","PS: Activities for Flexible Detail Display"
"C_DIP_STDV","Standard Variants in Dynamic Item Processor"
"C_DML","MDF Object Type"
"C_DRAD_OBJ","Create/Change/Display/Delete Object Link"
"C_DRAW_BGR","Authorization for authorization groups"
"C_DRAW_DOK","Authorization for document access"
"C_DRAW_MUP","Authorization for Markups"
"C_DRAW_STA","Authorization for document status"
"C_DRAW_TCD","Authorization for document activities"
"C_DRAW_TCS","Status-Dependent Authorizations for Documents"
"C_DRZA_TCD","Document Distribution: Authorization for Recipient Lists"
"C_DRZI_TCD","Document Distribution: Authorization for Distribution Order"
"C_EHSB_REG","Authorization Check for Compliance Check"
"C_EHSB_SCP","EHS: Authorization Object for General Scope of Application"
"C_EHSB_STA","EHS: Status of Objects"
"C_EHSD_EXC","EHS: Authorization Maintenance/DG Exception Assignment"
"C_EHSD_SDC","EHS: Authorization for Maintaining Dyn. Classification Data"
"C_EHSD_SDP","EHS: Authorization for DG Data Maintenance in DG Doc. Table"
"C_EHSD_SDV","EHS: Authorization - DG Packaging for Handling Unit"
"C_EHSD_SDX","EHS: Additional Data for Dangerous Goods"
"C_EHSE_EAF","EHS: ***Obsolete*** (Use C_EHSW_EAF)"
"C_EHSG_MP1","EHS: Label Printing"
"C_EHSH_APP","OBSOLETE Assign Health Surveillance Protocol to a Person"
"C_EHSH_DIA","EHS: Diagnosis Key"
"C_EHSH_EXA","OBSOLETE Lock/Unlock Examinations for Medical Service"
"C_EHSH_EXM","EHS: Examination"
"C_EHSH_HRD","OBSOLETE Reporting with Logical Database"
"C_EHSH_HSP","EHS: Health Surveillance Protocol"
"C_EHSH_PER","EHS: Persons in Occupational Health"
"C_EHSH_PHC","OBSOLETE Assigning Persons to a Health Center"
"C_EHSH_POH","EHS: Person-Related Occupational Health Data"
"C_EHSH_PPR","OBSOLETE Proposal List for Person and Health Surv. Protocols"
"C_EHSH_QUE","EHS: Question Catalog"
"C_EHSH_QUG","EHS: General Questionnaire"
"C_EHSH_ROP","OBSOLETE Reopening a Medical Service"
"C_EHSH_SHD","OBSOLETE Scheduling"
"C_EHSH_SOP","OBSOLETE Opening a Medical Service"
"C_EHSH_SRV","OBSOLETE Medical Service"
"C_EHSH_SVD","OBSOLETE Diagnoses for a Person"
"C_EHSH_TES","EHS: Test"
"C_EHSH_TST","OBSOLETE Test Results of a Medical Service"
"C_EHSI_DOC","EHS: Document and User-Defined Text Link"
"C_EHSI_FAL","EHS: Injury/Illness Log"
"C_EHSI_HAZ","EHS: Agent Type"
"C_EHSI_IAL","EHS: Incident/Accident Log"
"C_EHSI_MJO","EHS: Measurement"
"C_EHSI_MOR","EHS: Editing of Original Analysis Value"
"C_EHSI_MPR","EHS: Measurement Project"
"C_EHSI_WAH","EHS: Work Area Header"
"C_EHSO_GRP","EHS: Group Management for EHS Object"
"C_EHSP_TPP","EHS: Phrase Item"
"C_EHSRC_SV","EHS: Substance Volume Tracking"
"C_EHSS_CDE","EHS: Display Change Documents"
"C_EHSU_SVC","EHS: Utilities - Service Administration"
"C_EHSW_EAD","EHS: Waste Management - Disposal Processing"
"C_EHSW_EAF","EHS: Waste Management - Disposal Processing Functions"
"C_EHSW_PRT","EHS: Waste Management - Waste Management Business Partner"
"C_EHSW_WMN","EHS: Waste Management - Disposal Documents"
"C_EVAL_WRK","PP-PI: Process Message Evaluation / Evaluation Versions"
"C_FVER_WRK","PP-PI: Production Version - Plant"
"C_HU_PROD","Packing in Production (HU Creation)"
"C_JIT_CALL","PP-FLW JIT Calls"
"C_JIT_OUT","IS-A-JIT: JIT Outbound Calls"
"C_KANBAN","PP KANBAN Processing"
"C_KAPA_ABG","CIM: Capacity leveling"
"C_KAPA_BRG","CIM: Capacity authorization group"
"C_KAPA_PLA","CIM: Capacity planning"
"C_KLAH_BKL","Authorization for Classification"
"C_KLAH_BKP","Authorization for Class Maintenance"
"C_KLAH_BSE","Authorization for Finding Objects"
"C_LIME_DOC","LIME Document Check"
"C_LIME_HU","LIME Handling Unit"
"C_LIME_LOC","LIME Location"
"C_LIME_SI","LIME Stock Item"
"C_LINE","LD: Processing Lines"
"C_LOCM_FOL","Configuration Management - Authorization for the prod.folder"
"C_LOCM_MAN","Configuration Management - Extended authorization manager"
"C_LOVC_DBI","Variant Table - Link to Database Table"
"C_LOVC_DEP","Dependency Maintenance"
"C_LOVC_DSG","Interface Design"
"C_LOVC_FUN","Variant Function"
"C_LOVC_KBO","Knowledge-Base Object"
"C_LOVC_RTV","Runtime Version of Knowledge Base for SCE"
"C_LOVC_TAB","Variant Table - Structure"
"C_LOVC_TCN","Variant Table - Contents"
"C_LO_CM","Authorization Object for CM - Configuration Management"
"C_MESS_WRK","PP-PI: Process Messages - Plant"
"C_MLST_BGR","PS: Milestones (Authorization Group)"
"C_NAV_PROF","Navigation Profile"
"C_PCMP","PP-PI: Production Campaign"
"C_PDC","Communication With External Applications"
"C_PFS","PP-PI: External Planning Tool"
"C_PGUI_ADM","Authorization for iPPE Workbench Administration"
"C_PLAN_SOP","Sales and Operations Planning (SOP): Version"
"C_PLKO_PLG","PS: Planner Groups for Standard Networks"
"C_POI","Authorization Object for Production Optimization Interface"
"C_PPBD","Authorizations for Planned Independent Requirements"
"C_PPBD_REO","Demand Management Reorg. - Activities"
"C_PPE_ARC","Authorization Object for Archiving Selection"
"C_PPE_FOBJ","iPPE: Assignment to Focus Master Record"
"C_PPE_PAID","iPPE Alternative: External Key"
"C_PPE_PFTY","iPPE: Focus Master Record"
"C_PPE_PS","iPPE: PS -iPPE Interface (Component Assignment)"
"C_PPE_PSI","iPPE: PS -iPPE Interface (Interface)"
"C_PPE_PSIF","iPPE: PS -iPPE Interface (Component Assignment)"
"C_PPE_PSOB","iPPE: PS Assignment to iPPE Object"
"C_PRLG_WRK","PP-PI: Entry in Process Message Record"
"C_PROCCHAR","PP-PI: Ext. Access to Message/Instruction Characteristics"
"C_PROG_TR","Progress Tracking for Components"
"C_PROJ_KOK","PS: Controlling Area for Project Definition"
"C_PROJ_PRC","PS: Profit center for project definition"
"C_PROJ_TCD","PS: Transaction-Specific Authorizations in Project System"
"C_PROJ_VNR","PS: Project Manager for Project Definition"
"C_PROMAN","Project-Oriented Procurement"
"C_PRPS_ART","PS: Project type authorization for WBS elements"
"C_PRPS_KOK","PS: Controlling Area Authorization for WBS elements"
"C_PRPS_KST","PS: Cost Center Authorization for WBS elements"
"C_PRPS_PRC","PS: Profit Center Authorization for WBS elements"
"C_PRPS_USR","PS: Model for User Field Authorization for WBS elements"
"C_PRPS_VNR","PS: Project Manager Authorization for WBS elements"
"C_PSTX_ART","PS: Text Type Authorization for PS Texts"
"C_PVS_GRID","Authorization for Displaying/Changing iPPE Table Fields"
"C_PVS_NOH","iPPE authorization to edit historical objects w/out chg no."
"C_PVS_PAID","iPPE Alternative: External Key"
"C_PVS_PATY","iPPE Alternative: Type"
"C_PVS_PNID","iPPE Nodes: External Key"
"C_PVS_PNTY","iPPE Nodes: Type"
"C_PVS_PVID","iPPE Variant: External Key"
"C_PVS_PVTY","iPPE Variant: Type"
"C_PVS_STR","PVS Node Structure"
"C_PVS_VAR","PVS Component Variant"
"C_RESB_TRM","PS: Monitoring Dates for Components"
"C_RMSF_DVW","RM-FRM: Formula Views"
"C_RMSF_MOD","RM-FRM: Formula Modeling"
"C_RMSL_LBL","Authorization Check for Label"
"C_RMSR_BB_","Building Blocks"
"C_RMSR_CR_","Calculation Rules in Process Parameters"
"C_RMSR_RC_","Access to Recipes"
"C_RMSR_RS_","Change Recipe Status"
"C_RMST_LAY","Managing Output Layouts"
"C_RMX_CI","Trial Management: Access to Customer-Specific Fields"
"C_RMX_TASK","Monitor Tasks in Trial Management"
"C_RMX_TRIA","Authorization Check for Trials"
"C_ROUT","Authorizations for Routings"
"C_ROUT_MAT","Update Material Master from Routings"
"C_SAFK","REM: Repetitive Manufacturing"
"C_SCP_DCPL","Demand Coordination Planning Level Transaction Authorization"
"C_SCP_HIER","Hierarchy Delete transaction CSCPHIEDEL info structure check"
"C_SCP_METH","Demand Coordination tran CSCPDC3 supplementation method defn"
"C_SCP_MOD","Supply Chain Planning: Planning authorization for a model"
"C_SCP_MODC","Model Characteristics Authorization Object."
"C_SCP_MODL","Demand Coordination transaction CSCPDC5 planning model check"
"C_SCP_MODR","Assigning Resource Allocation Hierarchies to Planning Models"
"C_SCP_RAHC","Copy Available Capacity to a Resource Allocation Hierarchy."
"C_SEQUENCE","LASP: Sequencing"
"C_SHEB_TWL","EHS: BOMBOS - Worklist Table"
"C_SHEP_TPG","EHS: Phrase Library and Phrase Group"
"C_SHEP_TPP","EHS: ** obsolete **"
"C_SHER_TD2","EHS: Reports with Specification Type"
"C_SHER_TDH","EHS: Reports"
"C_SHES_DOC","EHS: Import of Documents"
"C_SHES_TD2","EHS: Value Assignment Usage with Specification Type"
"C_SHES_TDU","EHS: Specification Value Assignment Usage"
"C_SHES_TR2","EHS: Specification Header with Specification Type"
"C_SHES_TRH","EHS: Specification Header"
"C_SHES_TS2","EHS: Specification Status with Specification Type"
"C_SHES_TST","EHS: Specification Status"
"C_SHES_TV2","EHS: Value Assgmt with Reference to a Spec. with Spec. Type"
"C_SHES_TVH","EHS: Specification Value Assgmt with Reference to a Spec."
"C_SIGN","Authorization for Digital Signature"
"C_SIGN_BGR","Authorization Group for Digital Signature"
"C_SIMU_BGR","PS: Simulation (Authorization Group)"
"FINB_ACINS","Obsolete!!! Authorization with Reference to Accounting Inst."
"FI_ABR_BUK","Real Estate: Settlement unit - Company code authorization"
"FI_BAV_BUK","Real Estate: Transfer BAV data - Company code authorization"
"FI_BEW_ACT","Real Estate: Application - Maintenance authorization"
"FI_BKA_BUK","Real Estate: Operat.costs stt. - Company code authorization"
"FI_FAG_BUK","Real Estate: Free rent adj. commerc.agrmnt - CoCd authoriz."
"FI_FAW_BUK","Real Estate: Free rent adj. resid. agrmnt - CoCd authoriz."
"FI_GAR_BUK","Real Estate: Rent adj. of garage rent - CoCd authorization"
"FI_GBU_ACT","Real Estate: Land register - Maintenance authorization"
"FI_GEB_BUK","Real Estate: Building - Auth. for CoCd/business entity"
"FI_GRU_BUK","Real Estate: property - Author.for CoCd/business entity"
"FI_HEI_BUK","Real Estate: Heating system - Company code authorization"
"FI_HKA_BUK","Real Estate: Heating expenses stt. - CoCd authorization"
"FI_IND_BUK","Real Estate: Index-linked rent - Company code authorization"
"FI_KUE_BUK","Real Estate: Notice on lease-out - Author.for CoCd/BE"
"FI_ME1_BUK","Real Estate: Rental unit - Authoriz.for CoCd/business entity"
"FI_MIE_BUK","Real Estate: Rental agreement - Authoriz. for CoCd/BE"
"FI_MIS_ACT","Real Estate: Repr.lists of rents - Maintenance authorization"
"FI_MIS_BUK","Real Estate: Repr.list of rents adj. - CoCd authorization"
"FI_MOD_BUK","Real Estate: Modernization adjustment - CoCd authorization"
"FI_RAU_BUK","Real Estate: Rooms - Authorization for CoCd/business entity"
"FI_VBE_BUK","Real Estate: Comparative group - Company code authorization"
"FI_VWO_BUK","Real Estate: Comparative apartment - Company code authoriz."
"FI_WEI_BUK","Real Estate: Business entity - Authoriz. for CoCd/BE"
"FI_ZAH_BUK","Real Estate: Debit pos.payment transactions - CoCd authoriz."
"FI_ZLG_BUK","Real Estate: Surcharge adjustment - Company code authoriz."
"FI_ZUO_ACT","Real Estate: Assign RU/applic. - Maintenance authorization"
"FOT_B2A_V","Admin. Report Electronic Data Transmission to Authorities"
"FPP_ALL","Authorization Object for All FPP Activities"
"FPP_CUST","Authorization Object for Maintaining ParaProcessing Objects"
"FPP_USE","Authorization for Using FPP Service Modules"
"FW_AKS_BUK","Securities: Stock Split - Company Code Authorization"
"FW_BAV_BUK","Securities: Transfer BAV Data - Company Code Authorization"
"FW_BES_BUK","Securities: Position Indicator - Auth. for CoCd/Prod. Type"
"FW_BEZ_BUK","Securities: Subscription Right - Company Code Authorization"
"FW_DEP_BUK","Securities: Securities Account - Authorization for CoCd/TTy"
"FW_GAT_ACT","Securities: Class - Transaction Check Prod. Cat./Activity"
"FW_GAT_GSA","Securities: Class - Authorization for Transaction Types"
"FW_JUA_BUK","Securities: New Stock - Company Code Authorization"
"FW_KAB_BUK","Securities: Capital Reduction - Company Code Authorization"
"FW_KER_BUK","Securities: Capital Increase - Company Code Authorization"
"FW_MAS_BUK","Securities: Automatic Debit Position - CoCd/Product Type"
"FW_ORD_BUK","Securities: Order - Company Code Authorization"
"FW_ORD_GSA","Securities: Order - Authorization for Transaction Types"
"FW_ORD_STA","Securities: Order - Status Authorization"
"FW_OSA_BUK","Securities: Exercise WA - Authorization for CoCd/Prod. Type"
"FW_OST_BUK","Securities: Detach WA - Company Code Authorization"
"FW_SON_BUK","Securities: Other Postings - Company Code Authorization"
"FW_UMB_BUK","Securities: Balance Sheet Transfer - Co. Code Authorization"
"FW_UMD_BUK","Securities: Securities Account Transfer - CoCd Authorization"
"FW_WAN_BUK","Securities: Exercise Convertible Bond - Company Code Auth."
"FZ_FRG_KOM","Release: Authorization Check - Release Object/Authoriz. Amnt"
"FZ_FRG_OST","Release: Authorization for Release Object/Release Status"
"FZ_IND_ACT","Index data: Maintenance authorization"
"FZ_PRT_ACT","Partner Management: Partner - General Maintenance Authoriz."
"FZ_PRT_AUS","Partner Management: Partner Role - Selection Authorization"
"FZ_PRT_BEG","Treasury: Business Partners: Authorization Group for Partner"
"F_ACCL_ACT","BCA Account Closure: Activity"
"F_ACE_DST","Accrual Engine: Accrual Objects"
"F_ACE_PST","Accrual Engine: Accrual Postings"
"F_ACHY_ACT","BCA Account Hierarchy: Activity"
"F_ACHY_BKA","BCA Account Hierarchy: Bank Area"
"F_ACT_EBPP","Authorization Object for the Activities (EBPP)"
"F_AVIK_AVA","Payment Advice: Authorization for Advice Types"
"F_AVIK_BUK","Payment Advice: Authorization for Company Codes"
"F_BAST_ACT","BCA Bank Statement: Activity"
"F_BAV_BUK","Treasury BAV General Rights"
"F_BKKA_ACT","BCA Account: Activity"
"F_BKKA_ATT","BCA Account: Authorization Types"
"F_BKKA_BKA","BCA Account: Bank Areas"
"F_BKKA_BPG","BCA Account: Authorization Group According to BP"
"F_BKKA_FDG","BCA Account: Field Groups"
"F_BKKA_GRP","BCA Account: Authorization Groups"
"F_BKKA_GSB","BCA: Activities for Each Business Area"
"F_BKKA_PRG","BCA Account: Authorization Group According to Product"
"F_BKKA_RCT","BCA Account: Reactivate"
"F_BKPF_BED","Accounting Document: Account Authorization for Customers"
"F_BKPF_BEK","Accounting Document: Account Authorization for Vendors"
"F_BKPF_BES","Accounting Document: Account Authorization for G/L Accounts"
"F_BKPF_BLA","Accounting Document: Authorization for Document Types"
"F_BKPF_BUK","Accounting Document: Authorization for Company Codes"
"F_BKPF_BUP","Accounting Document: Authorization for Posting Periods"
"F_BKPF_GSB","Accounting Document: Authorization for Business Areas"
"F_BKPF_KOA","Accounting Document: Authorization for Account Types"
"F_BKPF_VW","Acc. Document: Change/Display Default Vals for Doc.Type/PKey"
"F_BL_BANK","Authorization for House Banks and Payment Methods"
"F_BNKA_BUK","Banks: Authorization for Company Codes"
"F_BNKA_MAC","Can be assigned; Still no usage, deletion not possible?"
"F_BNKA_MAN","Banks: General Maintenance Authorization"
"F_BNKA_MAO","Banks: General Maintenance Authorization by Country"
"F_CASH_ACG","BCA Means of Payment Management: Auth. Group Acc. to Account"
"F_CASH_ACT","BCA Means of Payment Management: Activity"
"F_CASH_ATT","BCA Means of Payment Management: Authorization Types"
"F_CASH_BKA","BCA Means of Payment Management: Bank Area"
"F_CASH_BPG","BCA Means of Payment Management: Auth. Group According to BP"
"F_CASH_PRG","BCA Means of Payment Management: Auth. Group Acc. to Product"
"F_CASH_TYP","BCA Means of Payment Management: Position Type"
"F_CHAINREV","Loans: Chain Reversal"
"F_CHG_COND","Loans: Change Conditions After Posting"
"F_CLOCO","Authroizations for Closing Cockpit (New for ERP 2005 EhP3)"
"F_CLOS_ACT","BCA Balancing: Activity"
"F_COND_ACT","BCA Conditions: Activity"
"F_COND_ATT","BCA Conditions: Authorization Types"
"F_COND_BDC","BCA Conditions: Retroactive Condition Change"
"F_COND_COA","BCA Conditions: Condition Area"
"F_COND_ITP","BCA Conditions: Individual Conditions Condition Category"
"F_COND_TYP","BCA Conditions: Condition Category"
"F_DABS_BUK","Loans: Write off Debit Position - CoCd/Partner Authorization"
"F_DEURCONV","Loans: Contract Currency Changeover to Euro"
"F_DSIC_ACT","Loans: Collateral - Maintenance Authorization"
