Class,Name,Description
"MILL","/NFM/KBB","NF Movement Types for Provision"
"MILL","/NFM/NES","NF: Different NF Key"
"MILL","/NFM/NFDEF","NF Default Values"
"MILL","/NFM/NFM","NF Rate Determination Modules"
"IM","A_IMPR_BUK","Company Codes for Investment Program Positions"
"IM","A_IMPR_GSB","Business Areas for Investment Program Positions"
"IM","A_IMPR_KOK","Controlling Areas for Investment Program Positions"
"IM","A_IMPR_PRC","Profit Center for Investment Program Positions"
"IM","A_IMPR_VER","Persons Resp. for Investment Program Positions"
"IM","A_IMTP_ART","Program Type for Investment Programs"
"IM","A_IMTP_SYS","System Activities for Program Types"
"IM","A_IM_EIS","Controlling Area for Data Retrieval Program EIS"
"ISAD","A_MPDMAP","Authorisation object for MPD Mapping Transaction"
"AM","A_M_ANLKL","Asset Classes: Asset Classes"
"AM","A_PERI_BUK","Asset Accounting: Authorizations for Periodic Processing"
"AM","A_S_ANLGR","Group Asset"
"AM","A_S_ANLKL","Asset Master Data Maint: Company Code/Asset Class"
"AM","A_S_GSBER","Asset Master Data Maintenance: Company Code/Business Area"
"AM","A_S_KOSTL","Asset Master Record Maintenance: Company Code/Cost Center"
"AM","A_S_WERK","Asset Master Data Maintenance: Company Code/Plant"
"BRF","BRF_AUTH","BRF: Test Authorization"
"BRF","BRF_STNDRD","BRF: Standard Authorization Object"
"AAAB","BSP_APPL","Authorization for BSP Applications"
"PP","C_AFRU_AWK","CIM: Confirmation"
"PS","C_AFVG_APL","PS: Work Center for Network Activities and Activity Elements"
"PS","C_AFVG_TYP","PS: Activity types for network act. and activity elements"
"PS","C_AFVG_USR","PS: User fields network activity. Activ. element model auth."
"PP","C_APPL_SOP","Sales and Operations Planning (SOP): Application"
"PP","C_ARPL_ART","CIM: Work center category"
"PP","C_ARPL_WRK","CIM: Work center- plant"
"PP","C_AUTO_JIT","ISAUTO_JIT: Sequenced JIT Calls (seqJC)"
"IS","C_AUTO_VMS",
"LO","C_AUT_TCD","Evaluation of Audit Trail: Check Transaction Codes"
"PP","C_BACKFL","REM: Backflushing"
"IS","C_BCKFLUSH","Automotive: Production Backflush"
"AAAA","C_BFLS","REM: Backflushing in Repetitive Manufaucturing"
"AAAA","C_BFLS_L","REM: Restricted Backflushing"
"AAAA","C_BFLS_N","REM: Posting Reporting Point Backflush Later"
"AAAA","C_BFLS_R","REM: Resetting Reporting Point Quantities"
"CLAS","C_CABN","Authorization for Characteristics Maintenance"
"CLAS","C_CABN_GRP","Authorization Group in Characteristic"
"CLAS","C_CACL_DSG","Interface Design"
"PP","C_CAPV_ANW","CAPP: Standard value calculation - application"
"PP","C_CAPV_STA","CAPP: Standard value calculation - master data maintenance"
"LO","C_CF_QUEUE","Authorization Object to Display/Maintain CIF Queue Contents"
"CLAS","C_CLAS_ERS","Replace Characteristic"
"CLAS","C_CLAS_NRM","Load Standards Data"
"CLAS","C_CLAS_UMS","Class Split/Merge"
"CLAS","C_CLAS_UTI","Authorization for Class Utilities"
"CLAS","C_CLA_PROF","Profile Maintenance/Assignment of Settings in Classification"
"CLAS","C_CLMM","Mass Processing of Classifications"
"PP","C_COCF_SRA","Shift Report - Work Center"
"PM","C_COCF_SRE","Schift Report - Equipment"
"PM","C_COCF_SRF","Schift Report - Functional Location"
"PP","C_COCF_SRH","Shift Report - Work Center Hierarchy"
"SPM","C_CONS_PGE","Consolidator Portal - Authorization object"
"PP","C_COOPC1","OPC Interface: Access to OPC Items"
"PP","C_COOPC2","OPC Interface: Access to Events and Alarms"
"PP","C_CREC_WRK","PP-PI: Control Recipe - Plant"
"PP","C_CREX_WRK","PP-PI: External Control Recipe Execution (PI-PCS)"
"PP","C_CRFH_BRG","CIM: Production resources/tools master - authorization group"
"PP","C_CRPI_BER","PP-PI: Authorizations for PI Sheet"
"PS","C_CSCR_ACT","PS: Activities for Flexible Detail Display"
"PS","C_DIP_STDV","Standard Variants in Dynamic Item Processor"
"BC_A","C_DML","MDF Object Type"
"CV","C_DRAD_OBJ","Create/Change/Display/Delete Object Link"
"CV","C_DRAW_BGR","Authorization for authorization groups"
"CV","C_DRAW_DOK","Authorization for document access"
"CV","C_DRAW_MUP","Authorization for Markups"
"CV","C_DRAW_STA","Authorization for document status"
"CV","C_DRAW_TCD","Authorization for document activities"
"CV","C_DRAW_TCS","Status-Dependent Authorizations for Documents"
"CV","C_DRZA_TCD","Document Distribution: Authorization for Recipient Lists"
"CV","C_DRZI_TCD","Document Distribution: Authorization for Distribution Order"
"EHS","C_EHSB_REG","Authorization Check for Compliance Check"
"EHS","C_EHSB_SCP","EHS: Authorization Object for General Scope of Application"
"EHS","C_EHSB_STA","EHS: Status of Objects"
"EHS","C_EHSD_EXC","EHS: Authorization Maintenance/DG Exception Assignment"
"EHS","C_EHSD_SDC","EHS: Authorization for Maintaining Dyn. Classification Data"
"EHS","C_EHSD_SDP","EHS: Authorization for DG Data Maintenance in DG Doc. Table"
"EHS","C_EHSD_SDV","EHS: Authorization - DG Packaging for Handling Unit"
"EHS","C_EHSD_SDX","EHS: Additional Data for Dangerous Goods"
"EHS","C_EHSE_EAF","EHS: ***Obsolete*** (Use C_EHSW_EAF)"
"EHS","C_EHSG_MP1","EHS: Label Printing"
"AAAA","C_EHSH_APP","OBSOLETE Assign Health Surveillance Protocol to a Person"
"EHS","C_EHSH_DIA","EHS: Diagnosis Key"
"AAAA","C_EHSH_EXA","OBSOLETE Lock/Unlock Examinations for Medical Service"
"EHS","C_EHSH_EXM","EHS: Examination"
"AAAA","C_EHSH_HRD","OBSOLETE Reporting with Logical Database"
"EHS","C_EHSH_HSP","EHS: Health Surveillance Protocol"
"EHS","C_EHSH_PER","EHS: Persons in Occupational Health"
"AAAA","C_EHSH_PHC","OBSOLETE Assigning Persons to a Health Center"
"EHS","C_EHSH_POH","EHS: Person-Related Occupational Health Data"
"AAAA","C_EHSH_PPR","OBSOLETE Proposal List for Person and Health Surv. Protocols"
"EHS","C_EHSH_QUE","EHS: Question Catalog"
"EHS","C_EHSH_QUG","EHS: General Questionnaire"
"AAAA","C_EHSH_ROP","OBSOLETE Reopening a Medical Service"
"AAAA","C_EHSH_SHD","OBSOLETE Scheduling"
"AAAA","C_EHSH_SOP","OBSOLETE Opening a Medical Service"
"AAAA","C_EHSH_SRV","OBSOLETE Medical Service"
"AAAA","C_EHSH_SVD","OBSOLETE Diagnoses for a Person"
"EHS","C_EHSH_TES","EHS: Test"
"AAAA","C_EHSH_TST","OBSOLETE Test Results of a Medical Service"
"EHS","C_EHSI_DOC","EHS: Document and User-Defined Text Link"
"EHS","C_EHSI_FAL","EHS: Injury/Illness Log"
"EHS","C_EHSI_HAZ","EHS: Agent Type"
"EHS","C_EHSI_IAL","EHS: Incident/Accident Log"
"EHS","C_EHSI_MJO","EHS: Measurement"
"EHS","C_EHSI_MOR","EHS: Editing of Original Analysis Value"
"EHS","C_EHSI_MPR","EHS: Measurement Project"
"EHS","C_EHSI_WAH","EHS: Work Area Header"
"EHS","C_EHSO_GRP","EHS: Group Management for EHS Object"
"EHS","C_EHSP_TPP","EHS: Phrase Item"
"EHS","C_EHSRC_SV","EHS: Substance Volume Tracking"
"EHS","C_EHSS_CDE","EHS: Display Change Documents"
"EHS","C_EHSU_SVC","EHS: Utilities - Service Administration"
"EHS","C_EHSW_EAD","EHS: Waste Management - Disposal Processing"
"EHS","C_EHSW_EAF","EHS: Waste Management - Disposal Processing Functions"
"EHS","C_EHSW_PRT","EHS: Waste Management - Waste Management Business Partner"
"EHS","C_EHSW_WMN","EHS: Waste Management - Disposal Documents"
"PP","C_EVAL_WRK","PP-PI: Process Message Evaluation / Evaluation Versions"
"PP","C_FVER_WRK","PP-PI: Production Version - Plant"
"PP","C_HU_PROD","Packing in Production (HU Creation)"
"PP","C_JIT_CALL","PP-FLW JIT Calls"
"PP","C_JIT_OUT","IS-A-JIT: JIT Outbound Calls"
"PP","C_KANBAN","PP KANBAN Processing"
"PP","C_KAPA_ABG","CIM: Capacity leveling"
"AAAA","C_KAPA_BRG","CIM: Capacity authorization group"
"PP","C_KAPA_PLA","CIM: Capacity planning"
"CLAS","C_KLAH_BKL","Authorization for Classification"
"CLAS","C_KLAH_BKP","Authorization for Class Maintenance"
"CLAS","C_KLAH_BSE","Authorization for Finding Objects"
"LIME","C_LIME_DOC","LIME Document Check"
"LIME","C_LIME_HU","LIME Handling Unit"
"LIME","C_LIME_LOC","LIME Location"
"LIME","C_LIME_SI","LIME Stock Item"
"PP","C_LINE","LD: Processing Lines"
"AAAA","C_LOCM_FOL","Configuration Management - Authorization for the prod.folder"
"AAAA","C_LOCM_MAN","Configuration Management - Extended authorization manager"
"LO","C_LOVC_DBI","Variant Table - Link to Database Table"
"LO","C_LOVC_DEP","Dependency Maintenance"
"LO","C_LOVC_DSG","Interface Design"
"LO","C_LOVC_FUN","Variant Function"
"LO","C_LOVC_KBO","Knowledge-Base Object"
"LO","C_LOVC_RTV","Runtime Version of Knowledge Base for SCE"
"LO","C_LOVC_TAB","Variant Table - Structure"
"LO","C_LOVC_TCN","Variant Table - Contents"
"LO","C_LO_CM","Authorization Object for CM - Configuration Management"
"PP","C_MESS_WRK","PP-PI: Process Messages - Plant"
"PS","C_MLST_BGR","PS: Milestones (Authorization Group)"
"LO","C_NAV_PROF","Navigation Profile"
"PP","C_PCMP","PP-PI: Production Campaign"
"AAAB","C_PDC","Communication With External Applications"
"PP","C_PFS","PP-PI: External Planning Tool"
"PPE","C_PGUI_ADM","Authorization for iPPE Workbench Administration"
"LO","C_PIC_OBJ",
"PP","C_PLAN_SOP","Sales and Operations Planning (SOP): Version"
"PS","C_PLKO_PLG","PS: Planner Groups for Standard Networks"
"PP","C_POI","Authorization Object for Production Optimization Interface"
"PP","C_PPBD","Authorizations for Planned Independent Requirements"
"PP","C_PPBD_REO","Demand Management Reorg. - Activities"
"PPE","C_PPE_ARC","Authorization Object for Archiving Selection"
"PPE","C_PPE_FOBJ","iPPE: Assignment to Focus Master Record"
"PPE","C_PPE_PAID","iPPE Alternative: External Key"
"PPE","C_PPE_PFTY","iPPE: Focus Master Record"
"LO","C_PPE_PS","iPPE: PS -iPPE Interface (Component Assignment)"
"LO","C_PPE_PSI","iPPE: PS -iPPE Interface (Interface)"
"AAAA","C_PPE_PSIF","iPPE: PS -iPPE Interface (Component Assignment)"
"AAAA","C_PPE_PSOB","iPPE: PS Assignment to iPPE Object"
"PP","C_PRLG_WRK","PP-PI: Entry in Process Message Record"
"PP","C_PROCCHAR","PP-PI: Ext. Access to Message/Instruction Characteristics"
"PS","C_PROG_TR","Progress Tracking for Components"
"PS","C_PROJ_KOK","PS: Controlling Area for Project Definition"
"PS","C_PROJ_PRC","PS: Profit center for project definition"
"PS","C_PROJ_TCD","PS: Transaction-Specific Authorizations in Project System"
"PS","C_PROJ_VNR","PS: Project Manager for Project Definition"
"PS","C_PROMAN","Project-Oriented Procurement"
"PS","C_PRPS_ART","PS: Project type authorization for WBS elements"
"PS","C_PRPS_KOK","PS: Controlling Area Authorization for WBS elements"
"PS","C_PRPS_KST","PS: Cost Center Authorization for WBS elements"
"PS","C_PRPS_PRC","PS: Profit Center Authorization for WBS elements"
"PS","C_PRPS_USR","PS: Model for User Field Authorization for WBS elements"
"PS","C_PRPS_VNR","PS: Project Manager Authorization for WBS elements"
"PS","C_PSTX_ART","PS: Text Type Authorization for PS Texts"
"PPE","C_PVS_GRID","Authorization for Displaying/Changing iPPE Table Fields"
"PPE","C_PVS_NOH","iPPE authorization to edit historical objects w/out chg no."
"AAAA","C_PVS_PAID","iPPE Alternative: External Key"
"PPE","C_PVS_PATY","iPPE Alternative: Type"
"PPE","C_PVS_PNID","iPPE Nodes: External Key"
"PPE","C_PVS_PNTY","iPPE Nodes: Type"
"PPE","C_PVS_PVID","iPPE Variant: External Key"
"PPE","C_PVS_PVTY","iPPE Variant: Type"
"AAAA","C_PVS_STR","PVS Node Structure"
"AAAA","C_PVS_VAR","PVS Component Variant"
"PS","C_RESB_TRM","PS: Monitoring Dates for Components"
"PP","C_RMSF_DVW","RM-FRM: Formula Views"
"PP","C_RMSF_MOD","RM-FRM: Formula Modeling"
"PP","C_RMSL_LBL","Authorization Check for Label"
"PP","C_RMSR_BB_","Building Blocks"
"PP","C_RMSR_CR_","Calculation Rules in Process Parameters"
"SPM","/SPE/AAC","Account Assignment Categories"
"MM_E","/SPE/REF_C","Allow background-creation of predeccessor documents via VL60"
"ACO","ACO_SUPER","Superuser per Object Category and Activity"
"ISAD","ADPIC_RIC","Authorization object for MPN Restricted Interchangeability"
"BC_Z","AUDIT_AUTH","Authorizations in Audit Processing"
"AM","A_A_VIEW","Asset: View"
"AM","A_B_ANLKL","Asset Postings: Company Code/Asset Class"
"AM","A_B_BWART","Asset Postings: Asset Class/Transaction Type"
"AM","A_C_AFAPL","Asset Customizing: Chart of Depreciation"
"IM","A_IMA_ART","Request Type for Appropriation Requests"
"IM","A_IMA_BUK","Company Codes for Appropriation Requests"
"IM","A_IMA_GSB","Business Areas for Appropriation Requests"
"IM","A_IMA_KOK","Controlling Areas for Appropriation Requests"
"IM","A_IMA_MSTA","User Status of Appropriation Requests"
"IM","A_IMA_REQU","Requesting Area of Responsibility for Approp. Requests"
"IM","A_IMA_RESP","Responsible Area of Responsibility for Approp. Requests"
"IM","A_IMA_VSTA","User Status for Appropriation Request Variants"
"IM","A_IMPR_APS","Approval Level for Versions (Program Planning)"
"BC_A","BV_SR_TCOD","Sales Returns - Authorization Check at Transaction Level"
"AAAB","B_ALE_CGRP","ALE Customizing Distribution: Group Activities"
"AAAB","B_ALE_LSYS","ALE/EDI: Maintaining Logical Systems"
"AAAB","B_ALE_MAST","ALE/EDI: Distribute Master Data"
"AAAB","B_ALE_MODL","ALE: Distribution Model Maintenance"
"AAAB","B_ALE_RECV","ALE/EDI: Receiving IDocs via RFC"
"AAAB","B_ALE_REDU","ALE/EDI: Generating Messages (For Example, Reduction)"
"AAAB","B_ASU_ADMI","Application Specific Upgrade:  Authorization Content Version"
"IS_I","B_BSFC","FS-CM: Authorization for Facts Capture (SFC)"
"AAAB","B_BUPA_ATT","Business Partner: Authorization Types"
"AAAB","B_BUPA_CRI","FS Business Partner: BP Role Category / Differentiation Type"
"AAAB","B_BUPA_FDG","Business Partner: Field Groups"
"AAAB","B_BUPA_GRP","Business Partner: Authorization Groups"
"AAAB","B_BUPA_PGM","Grouping Characteristic for SAP BP-FS"
"AAAB","B_BUPA_RLT","Business Partner: BP Roles"
"AAAB","B_BUPA_SLV","Selection Variant for Total Commitment"
"AAAB","B_BUPR_BZT","Business Partner Relationships: Relationship Categories"
"AAAB","B_BUPR_FDG","Business Partner Relationships: Field Groups"
"AAAB","B_CARD_SEC","Authorization Encryption Card Master"
"AAAB","B_CCARD","Payment Cards"
"AAAB","B_CCSEC","Unmasked Display of Credit Card Numbers"
"AAAB","B_CLEAR","Data Cleansing"
"AAAB","B_DECTREE","Decision Tree Maintenance"
"AAAA","B_DX","SAPDXfer: Central Tools - Initial Data Transfer"
"AAAB","B_EMMA_CAS","Case Authorization"
"AAAB","B_EMMA_LOG","Job Authorization"
"BVEM","B_EM_TCODE","Logistics - Check Transaction Code at Start of Transaction"
"BC_Z","B_FOX","FOX Explosion Framework"
"AAAB","B_LSMW","LSMW: Transaction and Activity"
"AAAB","B_LSMW_PRO","LSMW: Project"
"AAAB","B_MASSMAIN","Cross-Application Mass Maintenance Tool"
"AAAB","B_NOTIF","Follow-Up Functions for General Notifications"
"AAAB","B_NOTIF_BC","Follow-Up Functions for Notifications"
"AAAB","B_NOT_TASK","Access to Tasks in General Notifications"
"BPCT","B_PCONTACT","Partner Contact Management"
"AAAA","B_PROD_COM","General Authorization for Products"
"AAAB","B_SMAN_SEQ","Schedule Manager: Flow Definitions"
"AAAB","B_SMAN_WPL","Schedule Manager: Authorizations for Task Lists"
"BC_Z","B_UPS","ALE Distribution Packet"
"BC_Z","B_UPS_CUS","ALE Distribution Unit: Customizing"
"AAAB","B_USERSTAT","Status Management: Set/Delete User Status"
"AAAB","B_USERST_T","Status Management: Set/Delete User Status using Transaction"
"BVED","B_V2_TCODE","Excise Duty - Check Transaction Code at Start of Transaction"
"BVED","B_V2_TWH","Authorization for Tax Type and Tax Warehouse"
"BVEM","B_VEM","Empties"
"BVSR","B_VSR","Sales Returns"
"BVTS","B_VTS","Edit Part Load Lift Orders"
"AAAB","CA_GKFMADM","Key Figures in Generic Key Figure Monitor (Administrator)"
"AAAB","CA_GKFMUSR","Key Figures in Generic Key Figure Monitor (User)"
"AAAB","CA_KPIADM","Admin. Authorizations for Key Figures in KPI Watch List"
"AAAB","CA_KPIUSR","User Authorizations for KPIs in KPI Watch List"
"AAAB","CA_POWL","authorizations for Personal Object Work List (POWL) iViews"
"CMSA","CMS_CAG","Authorization object for CAG"
"CMSA","CMS_OMS","Authorization for all OMSs other than Real estate (Obsolete)"
"CMSA","CMS_OMS1","Authorization for all OMSs other than Real estate (New)"
"CMSA","CMS_PCN_01","Authorization for activities(Normal mode)"
"CMSA","CMS_PCN_02","Authorization for activities(Change request mode)"
"CMSA","CMS_RBL","Authorization object for receivable in CMS"
"CMSA","CMS_RE","Authorization object for Real estate objects in CMS"
"CMX","CMX_XS","XSteps: Authorization Object"
"CMX","CMX_XSR","SXS Repository: Authorization Object"
"AAAB","COM_ALTID","Authorization Object for Alternative IDs"
"AAAB","COM_ASET","Set Types/Attributes: General Authorizations"
"AAAB","COM_CAT","Categories: General Authorizations"
"AAAB","COM_CAT_CF","Categories: Authorization for Configuration-Relevant Data"
"AAAB","COM_HIER","Hierarchies: General Authorizations"
"AAAB","COM_IL","Authorization Check for Interlinkages"
"AAAB","COM_PRD","Product Master: General Authorization"
"AAAB","COM_PRD_CT","Product Master: Authorization for Category"
"AAAB","CPE_COVER","Coverages for Commodity Pricing Engine"
"AAAB","CPE_DOCDAT","Document Data for Commodity Pricing Engine"
"AAAB","CPE_DOCDEF","Document Default Data for Commodity Pricing Engine"
"AAAB","CPE_PRICEQ","Price Quotation for Commodity Pricing Engine"
"AAAB","CPE_SETTIN","Commodity Pricing Engine: General Settings"
"AAAB","CRM_BM","ABAP Broadcast Supervisor Messaging Authorization Object"
"AAAB","CRM_BUHI","Authorization Object for Business Partner Group Hierarchy"
"AAAB","CRM_IC_SCR","authorization object for Interactive Scripting"
"CVI","CVI_CUST","Process Assignment Customizing and Synchronization Reports"
"ISAD","C_ADSPCIP","Spec2000: Authorization object"
"PP","C_AENR_BGR","CC Change Master - Authorization Group"
"PP","C_AENR_ERW","CC Eng. Chg. Mgmt. Enhanced Authorization Check"
"PP","C_AENR_RV1","CC Engineering change mgmt - revision level for materials"
"PP","C_AENR_RV2","CC Engineering Change Mgt - revision level for documents"
"AAAA","C_AFFW_DEL","Authorization to delete incorrect goods mvts - not in use"
"PP","C_AFFW_TWK","CIM: Reworking error records from autom. goods movements"
"PS","C_AFKO_ACT","Activities on network header level"
"PP","C_AFKO_ATY","CIM: Order category"
"PP","C_AFKO_AWA","CIM: Authorization for Prod.Order/Order Type/Plant/Activity"
"PP","C_AFKO_AWK","CIM: Plant for order type of order"
"AAAA","C_AFKO_DEL","Authorization to Delete Orders - Not in Use !!"
"PS","C_AFKO_DIS","Network: MRP Group (Plant) and Transaction Type"
"PS","C_AFRU_APL","Confirmation: Authorization for actual work center"
"PP","C_RMSR_RC_","Access to Recipes"
"PP","C_RMSR_RS_","Change Recipe Status"
"PP","C_RMST_LAY","Managing Output Layouts"
"PP","C_RMX_CI","Trial Management: Access to Customer-Specific Fields"
"PP","C_RMX_TASK","Monitor Tasks in Trial Management"
"PP","C_RMX_TRIA","Authorization Check for Trials"
"PP","C_ROUT","Authorizations for Routings"
"PP","C_ROUT_MAT","Update Material Master from Routings"
"PP","C_SAFK","REM: Repetitive Manufacturing"
"AAAA","C_SCP_DCPL","Demand Coordination Planning Level Transaction Authorization"
"AAAA","C_SCP_HIER","Hierarchy Delete transaction CSCPHIEDEL info structure check"
"AAAA","C_SCP_METH","Demand Coordination tran CSCPDC3 supplementation method defn"
"LO","C_SCP_MOD","Supply Chain Planning: Planning authorization for a model"
"AAAA","C_SCP_MODC","Model Characteristics Authorization Object."
"AAAA","C_SCP_MODL","Demand Coordination transaction CSCPDC5 planning model check"
"AAAA","C_SCP_MODR","Assigning Resource Allocation Hierarchies to Planning Models"
"AAAA","C_SCP_RAHC","Copy Available Capacity to a Resource Allocation Hierarchy."
"PP","C_SEQUENCE","LASP: Sequencing"
"EHS","C_SHEB_TWL","EHS: BOMBOS - Worklist Table"
"EHS","C_SHEP_TPG","EHS: Phrase Library and Phrase Group"
"EHS","C_SHEP_TPP","EHS: ** obsolete **"
"EHS","C_SHER_TD2","EHS: Reports with Specification Type"
"EHS","C_SHER_TDH","EHS: Reports"
"EHS","C_SHES_DOC","EHS: Import of Documents"
"EHS","C_SHES_TD2","EHS: Value Assignment Usage with Specification Type"
"EHS","C_SHES_TDU","EHS: Specification Value Assignment Usage"
"EHS","C_SHES_TR2","EHS: Specification Header with Specification Type"
"EHS","C_SHES_TRH","EHS: Specification Header"
"EHS","C_SHES_TS2","EHS: Specification Status with Specification Type"
"EHS","C_SHES_TST","EHS: Specification Status"
"EHS","C_SHES_TV2","EHS: Value Assgmt with Reference to a Spec. with Spec. Type"
"EHS","C_SHES_TVH","EHS: Specification Value Assgmt with Reference to a Spec."
"AAAB","C_SIGN","Authorization for Digital Signature"
"AAAB","C_SIGN_BGR","Authorization Group for Digital Signature"
"PS","C_SIMU_BGR","PS: Simulation (Authorization Group)"
"PP","C_SPEC_BGR","Specification System: Authorization Object"
"PP","C_STUE_BER","CS BOM Authorizations"
"PP","C_STUE_MAS","CS BOMs - Mass changes"
"PP","C_STUE_NOH","CS Authorization to process BOMs without a change number"
"PP","C_STUE_WRK","CS BOM Plant (Plant Assignments)"
"CLAS","C_TCLA_BKA","Authorization for Class Types"
"CLAS","C_TCLS_BER","Authorization for Org. Areas in Classification System"
"CLAS","C_TCLS_MNT","Authorization for Characteristics of Org. Area"
"PP","C_TRAN","PP-PI: Transfer of Orders from Higher-Level Systems"
"AAAB","C_TXX_TF","DARTX: Generate Data Extracts"
"AAAB","C_TXX_TV","DARTX: Generate Data View"
"AAAB","C_TXX_TVC","DARTX: Maintain Data View"
"CLAS","C_UNDO","Special Authorization for Transaction CLUNDO"
"PS","C_VA02_CHK","Special authorization check for VA02 usability"
"PP","C_VARLIST","Authorization for Objects in Variable Lists"
"PS","C_VERS_ACT","PS: Activities for Project Versions"
"CLAS","C_WRFCHVAL","Authorization: Characteristic Value Maintenance"
"IS","C_WTY_ACT","Warranty: Actions"
"IS","C_WTY_OBJ","Warranty: Process Object"
"IS","C_WTY_STAT","Warranty: Status"
"DFPS","DF_BAS_ALE","ALE Synchronization"
"DFPS","DF_FOR_REL","Force Element Relationships"
"DFPS","DF_INIT_AE","Initialization of New Systems"
"DFPS","DF_LM_EQXT","Authorization for Addnl View (Op. Equipment) in Equipment"
"DFPS","DF_LM_TARG","Maintain Information That Is Subject to Secrecy"
"DFPS","DF_MAT_PLN","Authorizations for Material Planning"
"DFPS","DF_ME_NAV","Restrict Navigation Entries on the Mobile Devices"
"DFPS","DF_REL","Relocation Planning (Maintenance of Relocations)"
"DFPS","DF_WM_ATR","Access to the WM Additional Attributes"
"DFPS","DF_WM_NAV","Navigation and Authorization Control for WM"
"ISHT","D_AGRN","DRM:Agreement Negotiation on the Web"
"ISAD","D_AIRLINE","Flight Scheduling authorization for Airline and Sector"
"ISAD","D_AIRLINES","Flight Scheduling: Authority object for Airline"
"ISAD","D_AIRPORT","Flight Scheduling authorization for airport"
"ISHT","D_ANEG","Auth. object for the Agr. Neg. and reconciliation worklist."
"ISAD","D_ARRIVAL","Flight Scheduling: Auth. object for Airline and Arr/Dep Ind."
"ISAD","D_ARRIVALS","Flight Scheduling authorization for arrivals and departures"
"ISHT","D_BUDR","DRM : Bill up due list at Distributor"
"ISHT","D_BUMS","DRM : Bill up due list at Manufacturer"
"ISHT","D_CONT","DRM: Outbound Contract Status Report  at Manufacturer"
"ISHT","D_DSCL","DRM : Ship and Debit Claim Discrepancy  -  MS"
"ISHT","D_DSMSLIN","DRM: Drop Ship Matching of Sell-ins"
"ISHT","D_FROL","DRM: FIFO Rollback"
"ISHT","D_INAG","DRM : Invalid Ship and Debit Agreements"
"ISHT","D_IR","DRM : Inventory Reconciliation."
"ISHT","D_IRDR","DRM : IR processing at DR"
"ISHT","D_MLM","DRM:Manual Lot maintenance"
"ISHT","D_PAIN","DRM : Invalid Partner reported by DR  -- MS"
"ISHT","D_PPDR","DRM : Price Protection - DR"
"ISHT","D_PPMS","DRM : Price Protection - MS"
"ISHT","D_RLDB","DRM: Resale Link Database Maintenance Report"
"ISHT","D_SDDR","DRM : Ship and Debit - DR"
"DSDM","D_SDM",
"ISHT","D_SDMS","DRM : Ship and Debit - MS"
"DSD","D_SDRE","Tour Settlement: General"
"DSD","D_SDRP","Direct Store Delivery - Transportation Planning"
"DSD","D_SD_TCODE","Direct Store Delivery - Check Transaction Code at Start"
"ISHT","D_SLSROUT","DRM : Outbound 867 - DR"
"ISHT","D_STAG","DRM : Staging Area: Release"
"ISHT","D_STAGD","DRM: Staging release at DR"
"ISHT","D_STAGM","DRM: Staging Maintenance at Manufacturer"
"ISHT","D_STGD","DRM: Staging Maintenance at Distributor"
"ISHT","D_STGM","DRM: Staging Maintenance at Manufacturer"
,"D_SVAS_DEV","DSVAS: Service Assistant Development"
